Australian Bureau of Statistics,,,,,,
C,2139,Other Basic Non-Ferrous Metal Manufacturing,2420p,Manufacture of basic precious and other non-ferrous metals,,
C,Basic Non-Ferrous Metal Product Manufacturing,,,,,
C,2141,Non-Ferrous Metal Casting,2432,Casting of non-ferrous metals,,
C,2142,"Aluminium Rolling, Drawing, Extruding",2420p,Manufacture of basic precious and other non-ferrous metals,,
C,,,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,2149,Other Basic Non-Ferrous Metal Product Manufacturing,2420p,Manufacture of basic precious and other non-ferrous metals,,
C,,,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Fabricated Metal Product Manufacturing,,,,,
C,Iron and Steel Forging,,,,,
C,2210,Iron and Steel Forging,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,Structural Metal Product Manufacturing,,,,,
C,2221,Structural Steel Fabricating,2511p,Manufacture of structural metal products,,
C,2222,Prefabricated Metal Building Manufacturing,2511p,Manufacture of structural metal products,,
C,2223,Architectural Aluminium Product Manufacturing,2511p,Manufacture of structural metal products,,
C,2224,Metal Roof and Guttering Manufacturing (except Aluminium),2511p,Manufacture of structural metal products,,
C,2229,Other Structural Metal Product Manufacturing,2511p,Manufacture of structural metal products,,
C,Metal Container Manufacturing,,,,,
C,2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",2512,"Manufacture of tanks, reservoirs and containers of metal",,
C,,,2513p,"Manufacture of steam generators, except central heating hot water boilers",,
C,2239,Other Metal Container Manufacturing,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Sheet Metal Product Manufacturing (except Metal Structural and Container Products) ,,,,,
C,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container Products),2511p,Manufacture of structural metal products,,
C,,,2591p,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,Other Fabricated Metal Product Manufacturing,,,,,
C,2291,Spring and Wire Product Manufacturing,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,,,3099p,Manufacture of other transport equipment n.e.c.,,
C,2292,"Nut, Bolt, Screw and Rivet Manufacturing",2599p,Manufacture of other fabricated metal products n.e.c.,,
C,2293,Metal Coating and Finishing,2592,Treatment and coating of metals; machining,,
C,2299,Other Fabricated Metal Product Manufacturing n.e.c.,2511p,Manufacture of structural metal products,,
C,,,2520,Manufacture of weapons and ammunition,,
C,,,2593p,"Manufacture of cutlery, hand tools and general hardware",,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,,,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,2812p,Manufacture of fluid power equipment,,
C,,,2813p,"Manufacture of other pumps, compressors, taps and valves",,
C,,,3290p,Other manufacturing n.e.c.,,
C,Transport Equipment Manufacturing,,,,,
C,Motor Vehicle and Motor Vehicle Part Manufacturing,,,,,
C,2311,Motor Vehicle Manufacturing,2910p,Manufacture of motor vehicles,,
C,2312,Motor Vehicle Body and Trailer Manufacturing,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,
C,2313,Automotive Electrical Component Manufacturing,2733p,Manufacture of wiring devices,,
C,,,2740p,Manufacture of electric lighting equipment,,
C,,,2790p,Manufacture of other electrical equipment,,
C,,,2930p,Manufacture of parts and accessories for motor vehicles,,
C,2319,Other Motor Vehicle Parts Manufacturing,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,2910p,Manufacture of motor vehicles,,
C,,,2930p,Manufacture of parts and accessories for motor vehicles,,
C,Other Transport Equipment Manufacturing,,,,,
C,2391,Shipbuilding and Repair Services,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,3011p,Building of ships and floating structures,,
C,,,3012p,Building of pleasure and sporting boats,,
C,,,3312p,Repair of machinery,,
C,,,3315p,"Repair of transport equipment, except motor vehicles",,
C,,,3830p,Materials recovery,,
C,2392,Boatbuilding and Repair Services,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,3011p,Building of ships and floating structures,,
C,,,3012p,Building of pleasure and sporting boats,,
C,,,3312p,Repair of machinery,,
C,,,3315p,"Repair of transport equipment, except motor vehicles",,
C,2393,Railway Rolling Stock Manufacturing and Repair Services,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,3020p,Manufacture of railway locomotives and rolling stock,,
C,,,3312p,Repair of machinery,,
C,,,3315p,"Repair of transport equipment, except motor vehicles",,
C,2394,Aircraft Manufacturing and Repair Services,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2829p,Manufacture of other special-purpose machinery,,
C,,,3030p,Manufacture of air and spacecraft and related machinery,,
C,,,3313p,Repair of electronic and optical equipment,,
C,,,3315p,"Repair of transport equipment, except motor vehicles",,
C,2399,Other Transport Equipment Manufacturing n.e.c.,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,2816p,Manufacture of lifting and handling equipment,,
C,,,3011p,Building of ships and floating structures,,
C,,,3012p,Building of pleasure and sporting boats,,
C,,,3040,Manufacture of military fighting vehicles,,
C,,,3091,Manufacture of motorcycles,,
C,,,3092p,Manufacture of bicycles and invalid carriages,,
C,,,3099p,Manufacture of other transport equipment n.e.c.,,
C,,,3100p,Manufacture of furniture,,
C,,,3240p,Manufacture of games and toys,,
C,,,3312p,Repair of machinery,,
C,,,3315p,"Repair of transport equipment, except motor vehicles",,
C,Machinery and Equipment Manufacturing,,,,,
C,Professional and Scientific Equipment Manufacturing,,,,,
C,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing",2620p,Manufacture of computers and peripheral equipment,,
C,,,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2670p,Manufacture of optical instruments and photographic equipment,,
C,,,3250p,Manufacture of medical and dental instruments and supplies,,
C,2412,Medical and Surgical Equipment Manufacturing,2023p,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,
C,,,2593p,"Manufacture of cutlery, hand tools and general hardware",,
C,,,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2660p,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",,
C,,,2670p,Manufacture of optical instruments and photographic equipment,,
C,,,3250p,Manufacture of medical and dental instruments and supplies,,
C,,,3290p,Other manufacturing n.e.c.,,
C,2419,Other Professional and Scientific Equipment Manufacturing,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2652,Manufacture of watches and clocks,,
C,,,2660p,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",,
C,,,2670p,Manufacture of optical instruments and photographic equipment,,
C,,,2731p,Manufacture of fibre optic cables,,
C,,,2790p,Manufacture of other electrical equipment,,
C,,,2819p,Manufacture of other general-purpose machinery,,
C,,,3020p,Manufacture of railway locomotives and rolling stock,,
C,Computer and Electronic Equipment Manufacturing,,,,,
C,2421,Computer and Electronic Office Equipment Manufacturing,2610p,Manufacture of electronic components and boards,,
C,,,2620p,Manufacture of computers and peripheral equipment,,
C,,,2640p,Manufacture of consumer electronics,,
C,,,2817p,Manufacture of office machinery and equipment (except computers and peripheral equipment),,
C,2422,Communication Equipment Manufacturing,2610p,Manufacture of electronic components and boards,,
C,,,2630p,Manufacture of communication equipment,,
C,,,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2670p,Manufacture of optical instruments and photographic equipment,,
C,,,2733p,Manufacture of wiring devices,,
C,,,2790p,Manufacture of other electrical equipment,,
C,2429,Other Electronic Equipment Manufacturing,2610p,Manufacture of electronic components and boards,,
C,,,2630p,Manufacture of communication equipment,,
C,,,2640p,Manufacture of consumer electronics,,
C,,,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2670p,Manufacture of optical instruments and photographic equipment,,
C,,,2680,Manufacture of magnetic and optical media,,
C,,,2750p,Manufacture of domestic appliances,,
C,,,2790p,Manufacture of other electrical equipment,,
C,Electrical Equipment Manufacturing,,,,,
C,2431,Electric Cable and Wire Manufacturing,2610p,Manufacture of electronic components and boards,,
C,,,2731p,Manufacture of fibre optic cables,,
C,,,2732,Manufacture of other electronic and electric wires and cables,,
C,,,2790p,Manufacture of other electrical equipment,,
C,2432,Electric Lighting Equipment Manufacturing,2740p,Manufacture of electric lighting equipment,,
C,,,2790p,Manufacture of other electrical equipment,,
C,2439,Other Electrical Equipment Manufacturing,2610p,Manufacture of electronic components and boards,,
C,,,2630p,Manufacture of communication equipment,,
C,,,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",,
C,,,2720,Manufacture of batteries and accumulators,,
C,,,2733p,Manufacture of wiring devices,,
C,,,2790p,Manufacture of other electrical equipment,,
C,,,2815p,"Manufacture of ovens, furnaces and furnace burners",,
C,Domestic Appliance Manufacturing,,,,,
C,2441,Whiteware Appliance Manufacturing,2750p,Manufacture of domestic appliances,,
C,2449,Other Domestic Appliance Manufacturing,2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2750p,Manufacture of domestic appliances,,
C,,,2813p,"Manufacture of other pumps, compressors, taps and valves",,
C,,,2815p,"Manufacture of ovens, furnaces and furnace burners",,
C,,,2819p,Manufacture of other general-purpose machinery,,
C,,,2826p,"Manufacture of machinery for textile, apparel and leather production",,
C,"Pump, Compressor, Heating and Ventilation Equipment Manufacturing",,,,,
C,2451,Pump and Compressor Manufacturing,2812p,Manufacture of fluid power equipment,,
C,,,2813p,"Manufacture of other pumps, compressors, taps and valves",,
C,2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",2651p,"Manufacture of measuring, testing, navigating and control equipment",,
C,,,2813p,"Manufacture of other pumps, compressors, taps and valves",,
C,,,2815p,"Manufacture of ovens, furnaces and furnace burners",,
C,,,2819p,Manufacture of other general-purpose machinery,,
C,Specialised Machinery and Equipment Manufacturing,,,,,
C,2461,Agricultural Machinery and Equipment Manufacturing,2821,Manufacture of agricultural and forestry machinery,,
C,,,2825p,"Manufacture of machinery for food, beverage and tobacco processing",,
C,2462,Mining and Construction Machinery Manufacturing,2824,"Manufacture of machinery for mining, quarrying and construction",,
C,2463,Machine Tool and Parts Manufacturing,2593p,"Manufacture of cutlery, hand tools and general hardware",,
C,,,2818,Manufacture of power-driven hand tools,,
C,,,2819p,Manufacture of other general-purpose machinery,,
C,,,2822p,Manufacture of metal-forming machinery and machine tools,,
C,,,2823,Manufacture of machinery for metallurgy,,
C,2469,Other Specialised Machinery and Equipment Manufacturing,2593p,"Manufacture of cutlery, hand tools and general hardware",,
C,,,2660p,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",,
C,,,2790p,Manufacture of other electrical equipment,,
C,,,2819p,Manufacture of other general-purpose machinery,,
C,,,2825p,"Manufacture of machinery for food, beverage and tobacco processing",,
C,,,2826p,"Manufacture of machinery for textile, apparel and leather production",,
C,,,2829p,Manufacture of other special-purpose machinery,,
C,Other Machinery and Equipment Manufacturing,,,,,
C,2491,Lifting and Material Handling Equipment Manufacturing,2816p,Manufacture of lifting and handling equipment,,
C,2499,Other Machinery and Equipment Manufacturing n.e.c.,2513p,"Manufacture of steam generators, except central heating hot water boilers",,
C,,,2811p,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,
C,,,2812p,Manufacture of fluid power equipment,,
C,,,2813p,"Manufacture of other pumps, compressors, taps and valves",,
C,,,2814,"Manufacture of bearings, gears, gearing and driving elements",,
C,,,2815p,"Manufacture of ovens, furnaces and furnace burners",,
C,,,2819p,Manufacture of other general-purpose machinery,,
C,,,2822p,Manufacture of metal-forming machinery and machine tools,,
C,,,2826p,"Manufacture of machinery for textile, apparel and leather production",,
C,,,3250p,Manufacture of medical and dental instruments and supplies,,
C,Furniture and Other Manufacturing,,,,,
C,Furniture Manufacturing,,,,,
C,2511,Wooden Furniture and Upholstered Seat Manufacturing,2930p,Manufacture of parts and accessories for motor vehicles,,
C,,,3011p,Building of ships and floating structures,,
C,,,3020p,Manufacture of railway locomotives and rolling stock,,
C,,,3030p,Manufacture of air and spacecraft and related machinery,,
C,,,3100p,Manufacture of furniture,,
C,2512,Metal Furniture Manufacturing,2930p,Manufacture of parts and accessories for motor vehicles,,
C,,,3011p,Building of ships and floating structures,,
C,,,3020p,Manufacture of railway locomotives and rolling stock,,
C,,,3030p,Manufacture of air and spacecraft and related machinery,,
C,,,3100p,Manufacture of furniture,,
C,2513,Mattress Manufacturing,2219p,Manufacture of other rubber products,,
C,,,3100p,Manufacture of furniture,,
C,2519,Other Furniture Manufacturing,2817p,Manufacture of office machinery and equipment (except computers and peripheral equipment),,
C,,,3100p,Manufacture of furniture,,
C,Other Manufacturing,,,,,
C,2591,Jewellery and Silverware Manufacturing,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,,,3211p,Manufacture of jewellery and related articles,,
C,,,3212,Manufacture of imitation jewellery and related articles,,
C,2592,"Toy, Sporting and Recreational Product Manufacturing",3230p,Manufacture of sports goods,,
C,,,3240p,Manufacture of games and toys,,
C,2599,Other Manufacturing n.e.c.,1629p,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",,
C,,,1701p,"Manufacture of pulp, paper and paperboard",,
C,,,2219p,Manufacture of other rubber products,,
C,,,2220p,Manufacture of plastics products,,
C,,,2599p,Manufacture of other fabricated metal products n.e.c.,,
C,,,3220,Manufacture of musical instruments,,
C,,,3240p,Manufacture of games and toys,,
C,,,3290p,Other manufacturing n.e.c.,,
C,,,,,,
D,"Electricity, Gas, Water and Waste Services",,,,,
D,Electricity Supply,,,,,
D,Electricity Generation,,,,,
D,2611,Fossil Fuel Electricity Generation,3510p,"Electric power generation, transmission and distribution",,
D,2612,Hydro-Electricity Generation,3510p,"Electric power generation, transmission and distribution",,
D,2619,Other Electricity Generation,3510p,"Electric power generation, transmission and distribution",,
D,,,3821p,Treatment and disposal of non-hazardous waste,,
D,Electricity Transmission,,,,,
D,2620,Electricity Transmission,3510p,"Electric power generation, transmission and distribution",,
D,Electricity Distribution,,,,,
D,2630,Electricity Distribution,3510p,"Electric power generation, transmission and distribution",,
D,On Selling Electricity and Electricity Market Operation,,,,,
D,2640,On Selling Electricity and Electricity Market Operation,3510p,"Electric power generation, transmission and distribution",,
D,Gas Supply,,,,,
D,Gas Supply,,,,,
D,2700,Gas Supply,3520,Manufacture of gas; distribution of gaseous fuels through mains,,
D,"Water Supply, Sewerage and Drainage Services",,,,,
D,"Water Supply, Sewerage and Drainage Services",,,,,
D,2811,Water Supply ,3530,Steam and air conditioning supply,,
D,,,3600,"Water collection, treatment and supply",,
D,,,4930p,Transport via pipeline,,
D,2812,Sewerage and Drainage Services,3700p,Sewerage,,
D,"Waste Collection, Treatment and Disposal Services",,,,,
D,Waste Collection Services,,,,,
D,2911,Solid Waste Collection Services,3811p,Collection of non-hazardous waste,,
D,,,3812p,Collection of hazardous waste,,
D,2919,Other Waste Collection Services,3700p,Sewerage,,
D,,,3811p,Collection of non-hazardous waste,,
D,,,3812p,Collection of hazardous waste,,
D,"Waste Treatment, Disposal and Remediation Services",,,,,
D,2921,Waste Treatment and Disposal Services,3700p,Sewerage,,
D,,,3811p,Collection of non-hazardous waste,,
D,,,3812p,Collection of hazardous waste,,
D,,,3821p,Treatment and disposal of non-hazardous waste,,
D,,,3822p,Treatment and disposal of hazardous waste,,
D,2922,Waste Remediation and Materials Recovery Services,3811p,Collection of non-hazardous waste,,
D,,,3812p,Collection of hazardous waste,,
D,,,3821p,Treatment and disposal of non-hazardous waste,,
D,,,3822p,Treatment and disposal of hazardous waste,,
D,,,3830p,Materials recovery,,
D,,,3900,Remediation activities and other waste management services,,
D,,,,,,
E,Construction,,,,,
E,Building Construction,,,,,
E,Residential Building Construction,,,,,
E,3011,House Construction,4100p,Construction of buildings,,
E,3019,Other Residential Building Construction,4100p,Construction of buildings,,
E,Non-Residential Building Construction,,,,,
E,3020,Non-Residential Building Construction,4100p,Construction of buildings,,
E,Heavy and Civil Engineering Construction,,,,,
E,Heavy and Civil Engineering Construction,,,,,
E,3101,Road and Bridge Construction,4210p,Construction of roads and railways,,
E,,,4290p,Construction of other civil engineering projects,,
E,3109,Other Heavy and Civil Engineering Construction,3320p,Installation of industrial machinery and equipment,,
E,,,4210p,Construction of roads and railways,,
E,,,4220,Construction of utility projects,,
E,,,4290p,Construction of other civil engineering projects,,
E,,,4390p,Other specialized construction activities,,
E,Construction Services,,,,,
E,Land Development and Site Preparation Services,,,,,
E,3211,Land Development and Subdivision,4290p,Construction of other civil engineering projects,,
E,,,6810p,Real estate activities with own or leased property,,
E,3212,Site Preparation Services,4311,Demolition,,
E,,,4312p,Site preparation,,
E,Building Structure Services,,,,,
E,3221,Concreting Services,4390p,Other specialized construction activities,,
E,3222,Bricklaying Services,4390p,Other specialized construction activities,,
E,3223,Roofing Services,4390p,Other specialized construction activities,,
E,3224,Structural Steel Erection Services,4390p,Other specialized construction activities,,
E,Building Installation Services,,,,,
E,3231,Plumbing Services,4322p,"Plumbing, heat and air-conditioning installation",,
E,3232,Electrical Services,3320p,Installation of industrial machinery and equipment,,
E,,,4321p,Electrical installation,,
E,,,4329p,Other construction installation,,
E,3233,Air Conditioning and Heating Services,4322p,"Plumbing, heat and air-conditioning installation",,
E,3234,Fire and Security Alarm Installation Services,4321p,Electrical installation,,
E,,,4322p,"Plumbing, heat and air-conditioning installation",,
E,3239,Other Building Installation Services,3320p,Installation of industrial machinery and equipment,,
E,,,4329p,Other construction installation,,
E,,,4330p,Building completion and finishing,,
E,,,4390p,Other specialized construction activities,,
E,Building Completion Services,,,,,
E,3241,Plastering and Ceiling Services,4330p,Building completion and finishing,,
E,3242,Carpentry Services,4330p,Building completion and finishing,,
E,3243,Tiling and Carpeting Services,4330p,Building completion and finishing,,
E,3244,Painting and Decorating Services,4330p,Building completion and finishing,,
E,3245,Glazing Services,4330p,Building completion and finishing,,
E,Other Construction Services,,,,,
E,3291,Landscape Construction Services,4322p,"Plumbing, heat and air-conditioning installation",,
E,,,4330p,Building completion and finishing,,
E,,,4390p,Other specialized construction activities,,
E,,,8130p,Landscape care and maintenance service activities,,
E,3292,Hire of Construction Machinery with Operator,4312p,Site preparation,,
E,,,4390p,Other specialized construction activities,,
E,3299,Other Construction Services n.e.c.,3320p,Installation of industrial machinery and equipment,,
E,,,4210p,Construction of roads and railways,,
E,,,4329p,Other construction installation,,
E,,,4330p,Building completion and finishing,,
E,,,4390p,Other specialized construction activities,,
E,,,,,,
F,Wholesale Trade,,,,,
F,Basic Material Wholesaling,,,,,
F,Agricultural Product Wholesaling,,,,,
F,3311,Wool Wholesaling,4620p,Wholesale of agricultural raw materials and live animals,,
F,3312,Cereal Grain Wholesaling,4620p,Wholesale of agricultural raw materials and live animals,,
F,3319,Other Agricultural Product Wholesaling,4620p,Wholesale of agricultural raw materials and live animals,,
F,,,4630p,"Wholesale of food, beverages and tobacco",,
F,"Mineral, Metal and Chemical Wholesaling",,,,,
F,3321,Petroleum Product Wholesaling,4661p,"Wholesale of solid, liquid and gaseous fuels and related products",,
F,3322,Metal and Mineral Wholesaling,4661p,"Wholesale of solid, liquid and gaseous fuels and related products",,
F,,,4662p,Wholesale of metals and metal ores,,
F,,,4669p,Wholesale of waste and scrap and other products n.e.c.,,
F,3323,Industrial and Agricultural Chemical Product Wholesaling,4669p,Wholesale of waste and scrap and other products n.e.c.,,
F,Timber and Hardware Goods Wholesaling,,,,,
F,3331,Timber Wholesaling,4663p,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,
F,,,4669p,Wholesale of waste and scrap and other products n.e.c.,,
F,3332,Plumbing Goods Wholesaling,4663p,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,
F,3339,Other Hardware Goods Wholesaling,4661p,"Wholesale of solid, liquid and gaseous fuels and related products",,
F,,,4662p,Wholesale of metals and metal ores,,
F,,,4663p,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,
F,,,4669p,Wholesale of waste and scrap and other products n.e.c.,,
F,Machinery and Equipment Wholesaling,,,,,
F,Specialised Industrial Machinery and Equipment Wholesaling,,,,,
F,3411,Agricultural and Construction Machinery Wholesaling,4653,"Wholesale of agricultural machinery, equipment and supplies",,
F,,,4659p,Wholesale of other machinery and equipment,,
F,3419,Other Specialised Industrial Machinery and Equipment Wholesaling,4659p,Wholesale of other machinery and equipment,,
F,Other Machinery and Equipment Wholesaling,,,,,
F,3491,Professional and Scientific Goods Wholesaling,4659p,Wholesale of other machinery and equipment,,
F,3492,Computer and Computer Peripheral Wholesaling,4649p,Wholesale of other household goods,,
F,,,4651,"Wholesale of computers, computer peripheral equipment and software",,
F,,,4652p,Wholesale of electronic and telecommunications equipment and parts,,
F,3493,Telecommunication Goods Wholesaling,4652p,Wholesale of electronic and telecommunications equipment and parts,,
F,3494,Other Electrical and Electronic Goods Wholesaling,4649p,Wholesale of other household goods,,
F,,,4652p,Wholesale of electronic and telecommunications equipment and parts,,
F,,,4659p,Wholesale of other machinery and equipment,,
F,3499,Other Machinery and Equipment Wholesaling n.e.c.,4649p,Wholesale of other household goods,,
F,,,4659p,Wholesale of other machinery and equipment,,
F,Motor Vehicle and Motor Vehicle Parts Wholesaling,,,,,
F,Motor Vehicle and Motor Vehicle Parts Wholesaling,,,,,
